title,address,latitude,longitude,description,price_pcm,date_added,agent,agent_tel,image_src,src
Garages,"Elmcroft Garages, West Hampstead NW6",51.54977,-0.19181,Garages and spaces available behind West End Lane near all the shops and underground station. Call Cedar Estates .,£195 pcm,Added yesterday,"Cedar Estates, West Hampstead",020 8012 1865,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79883/99465557/79883_175_IMG_01_0000_max_476x317.jpg,https://www.rightmove.co.uk/property-to-rent/property-99465557.html
Garages,"Elmcroft Garages, West Hampstead NW6",51.54977,-0.19181,Garages and spaces available behind West End Lane near all the shops and underground station. Call Cedar Estates .,£195 pcm,Added yesterday,"Cedar Estates, West Hampstead",020 8012 1865,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79883/99465557/79883_175_IMG_01_0000_max_476x317.jpg,https://www.rightmove.co.uk/property-to-rent/property-99465557.html
Garages,"Bracknell Gardens, West Hampstead, NW3",51.55411,-0.1876,A secure garage situated on Bracknell Gardens close to the centre of West Hampstead and just off of the Finchley Road. ,£152 pcm,Added on 08/09/2020,"Portico, Camden",020 8012 4112,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32250/99381068/32250_11534_IMG_01_0000_max_476x317.jpg,https://www.rightmove.co.uk/property-to-rent/property-99381068.html
Garages,"Elmcroft Garages, West Hampstead NW6",51.5512,-0.19147,Garages and spaces available behind West End Lane near all the shops and underground station.call Cedar Estates .,£195 pcm,Added on 01/09/2020,"Cedar Estates, West Hampstead",020 8012 1865,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79883/96774086/79883_1913_IMG_01_0000_max_476x317.jpg,https://www.rightmove.co.uk/property-to-rent/property-96774086.html
Garages,"Elmcroft Garages, West Hampstead NW6",51.5512,-0.19147,"Cedar Estates are pleased to offer safe and secure garages and car parking spaces with 24-hour access. The garages and car parking spaces are conveniently located just off of West End Lane in easy reach of all the shops, amenities and Underground Station.",£173 pcm,Added on 09/09/2019,"Cedar Estates, West Hampstead",020 8012 1865,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79883/87350111/79883_141_IMG_01_0000_max_476x317.jpg,https://www.rightmove.co.uk/property-to-rent/property-87350111.html
Garages,"Greencroft Gardens, South Hampstead NW6",51.5432,-0.18602,"An off street parking space, located only a short walk from Finchley Road and West Hampstead stations.",£87 pcm,Added on 27/11/2018,"Cedar Estates, West Hampstead",020 8012 1865,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79883/87350450/79883_2495_IMG_01_0000_max_476x317.jpg,https://www.rightmove.co.uk/property-to-rent/property-87350450.html
Garages,"Elmcroft Garages, West Hampstead NW6",51.5512,-0.19147,Garages and spaces available behind West End Lane near all the shops and underground station. Call Cedar Estates .,£130 pcm,Added on 06/09/2016,"Cedar Estates, West Hampstead",020 8012 1865,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79883/87350138/79883_684_IMG_01_0000_max_476x317.jpg,https://www.rightmove.co.uk/property-to-rent/property-87350138.html
Garages,"Elmcroft Garages, West Hampstead NW6",51.5512,-0.19147,Garage available behind West End Lane near all the shops and underground station.Call now on to view.,£217 pcm,Added yesterday,"Cedar Estates, West Hampstead",020 8012 1865,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79883/99465536/79883_153_IMG_01_0000_max_476x317.jpg,https://www.rightmove.co.uk/property-to-rent/property-99465536.html
Garages,"Elmcroft Garages, West Hampstead NW6",51.5512,-0.19147,Garage available behind West End Lane near all the shops and underground station.Call now on to view.,£217 pcm,Added yesterday,"Cedar Estates, West Hampstead",020 8012 1865,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79883/99465536/79883_153_IMG_01_0000_max_476x317.jpg,https://www.rightmove.co.uk/property-to-rent/property-99465536.html
Garages,"Elmcroft Garages, West Hampstead NW6",51.5512,-0.19147,"Cedar Estates are pleased to offer safe and secure garages and parking spaces with 24 hour access. The garages and car parking spaces are conveniently located just off of West End Lane in easy reach of all the shops, amenities and Underground Station.",£238 pcm,Added on 30/03/2020,"Cedar Estates, West Hampstead",020 8012 1865,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79883/90970604/79883_169_IMG_01_0000_max_476x317.jpg,https://www.rightmove.co.uk/property-to-rent/property-90970604.html
